# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.2

base_loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0761000000000000179094051C00000000000017A09C085F800000000000570697463680800000000037961770800000000
camp_auto_loop, boolean, 01
camp_list::1, long, 0000000000000001
camp_list::2, long, 0000000000000002
camp_list::3, long, 0000000000000003
camp_list::4, long, 0000000000000004
camp_list::5, long, 000000000000000B
camp_list::6, long, 0000000000000006
camp_list::7, long, 0000000000000007
camp_list::8, long, 0000000000000008
camp_list::9, long, 0000000000000009
camp_list::10, long, 000000000000000A
camp_main_base, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408DDBB70232D2D10179094053C00000000000017A09402B92368C41643905706974636808411003F30379617708C3323830
camp_reinforce_limit, long, 0000000000000005
camp_total_id, long, 000000000000000B
camps::1::amount_pillager, long, 0000000000000007
camps::1::amount_ravager, long, 0000000000000000
camps::1::amount_spotter, long, 0000000000000002
camps::1::amount_vindicator, long, 0000000000000003
camps::1::is_populated, boolean, 01
camps::1::live_pillager, long, 0000000000000007
camps::1::live_ravager, long, 0000000000000000
camps::1::live_spotter, long, 0000000000000002
camps::1::live_vindicator, long, 0000000000000003
camps::1::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408FFAA787CF923B017909405D400000000000017A09405119ADC2F53A45057069746368083F19B6A1037961770842E66624
camps::1::radius, long, 0000000000000014
camps::2::amount_pillager, long, 000000000000000F
camps::2::amount_ravager, long, 0000000000000002
camps::2::amount_spotter, long, 0000000000000003
camps::2::amount_vindicator, long, 0000000000000007
camps::2::is_populated, boolean, 01
camps::2::live_pillager, long, 000000000000000F
camps::2::live_ravager, long, 0000000000000002
camps::2::live_spotter, long, 0000000000000003
camps::2::live_vindicator, long, 0000000000000007
camps::2::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809409060151F50BE4F017909405C000000000000017A09C0401F670B14602F05706974636808410402950379617708C32F59A6
camps::2::radius, long, 0000000000000028
camps::3::amount_pillager, long, 0000000000000002
camps::3::amount_ravager, long, 0000000000000000
camps::3::amount_spotter, long, 0000000000000001
camps::3::amount_vindicator, long, 0000000000000006
camps::3::is_populated, boolean, 01
camps::3::live_pillager, long, 0000000000000002
camps::3::live_ravager, long, 0000000000000000
camps::3::live_spotter, long, 0000000000000001
camps::3::live_vindicator, long, 0000000000000006
camps::3::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408EF942413A9605017909405C200000000000017A09C051808BA8BA24D00570697463680840D8059E03796177084321667A
camps::3::radius, long, 0000000000000014
camps::4::amount_pillager, long, 000000000000000A
camps::4::amount_ravager, long, 0000000000000000
camps::4::amount_spotter, long, 0000000000000002
camps::4::amount_vindicator, long, 0000000000000003
camps::4::is_populated, boolean, 01
camps::4::live_pillager, long, 000000000000000A
camps::4::live_ravager, long, 0000000000000000
camps::4::live_spotter, long, 0000000000000002
camps::4::live_vindicator, long, 0000000000000003
camps::4::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408C7151CC77669C017909405B800000000000017A09C028BC585BAB6EC8057069746368084128033603796177084305F34A
camps::4::radius, long, 0000000000000019
camps::6::amount_pillager, long, 000000000000000C
camps::6::amount_ravager, long, 0000000000000003
camps::6::amount_spotter, long, 0000000000000002
camps::6::amount_vindicator, long, 0000000000000005
camps::6::is_populated, boolean, 01
camps::6::live_pillager, long, 000000000000000C
camps::6::live_ravager, long, 0000000000000003
camps::6::live_spotter, long, 0000000000000002
camps::6::live_vindicator, long, 0000000000000005
camps::6::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408D4168647A7BB60179094059C00000000000017A0940600D347937EAC405706974636808412F36390379617708C2AE4D36
camps::6::radius, long, 000000000000002D
camps::7::amount_pillager, long, 0000000000000003
camps::7::amount_ravager, long, 0000000000000000
camps::7::amount_spotter, long, 0000000000000001
camps::7::amount_vindicator, long, 0000000000000006
camps::7::is_populated, boolean, 01
camps::7::live_pillager, long, 0000000000000003
camps::7::live_ravager, long, 0000000000000000
camps::7::live_spotter, long, 0000000000000001
camps::7::live_vindicator, long, 0000000000000006
camps::7::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408DF84BFFCBE8E10179094054000000000000017A0940410FE670FF5941057069746368084114CFFB0379617708C3096696
camps::7::radius, long, 0000000000000032
camps::8::amount_pillager, long, 0000000000000000
camps::8::amount_ravager, long, 0000000000000000
camps::8::amount_spotter, long, 0000000000000000
camps::8::amount_vindicator, long, 0000000000000004
camps::8::is_populated, boolean, 01
camps::8::live_pillager, long, 0000000000000000
camps::8::live_ravager, long, 0000000000000000
camps::8::live_spotter, long, 0000000000000000
camps::8::live_vindicator, long, 0000000000000004
camps::8::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408DCDEF7E4DDC7C0179094055400000000000017A094029729F9D70216605706974636808418C67E703796177083F996C00
